Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mali,8982161281,10794540190,9920099635,10911995463,12280373209,11230006152,11991429511,13224914093,14667827674,14642172530,14585745030,14504169501
Malta,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,
Mauritania,4631672246,5566588660,5498149502,6068102674,5519299451,5362348343,5612029555,5965315418,6798011634,7298905586,7580647427,8391225495
Mauritius,8593924452,9719565014,9755570175,10454815709,11148021295,10348987079,10867266234,12107670968,13109513306,12993485281,10247727912,10343032087
Mexico,8.37005E+11,9.09918E+11,9.2312E+11,9.79078E+11,1.029E+12,9.30699E+11,8.50738E+11,9.09856E+11,9.49012E+11,9.89329E+11,8.28724E+11,9.50153E+11
"Micronesia, Fed. Sts.",288228169.2,300328138.2,321214863.2,322155169.8,325403951.9,356037214,365710322.6,393445403.5,387595595.9,432232050.4,426303344,417569529.9
Moldova,6657470285,8142332478,8704671168,9448149514,9375407929,7066335868,7627551246,9190034402,10673164437,11165403703,10801154634,12338542741
Monaco,,,,,,,,,,,,
Mongolia,5062661693,7155778898,9384594675,10049588534,9346995981,8571900022,8181126142,7536478498,9234410092,10178934512,9780515513,9347566300
Montenegro,3615482734,4063577457,3653567642,3990859377,4056323375,3658614396,3837643290,4374226784,4874829510,4900759293,4242809122,5252776809
Morocco,82223839777,89130533760,87104305169,95548098254,1.05518E+11,98139484500,99320509536,1.05481E+11,1.13404E+11,1.14852E+11,1.08024E+11,1.26526E+11
Mozambique,9277390652,11969565034,13639551231,13988127906,14405275136,12715387659,9463188948,10182496900,11649294792,11806791078,10628073217,11748409339
Myanmar,32846335722,47798927830,51825261831,53708762703,54415644648,54727138207,52419648600,53398298667,59124872462,60536662069,69622967005,56036281288
Namibia,9390942403,10371885906,10942101123,10561937946,10830046073,9892831526,9091968517,10988397671,11589281710,10683225805,9099606688,10168489776
Nauru,,,,,,,,,,,,
Nepal,15340231214,20555291190,20770561653,21201525210,21952541177,23150029935,23058005657,27458827145,31183733041,32139895214,31421276198,33841986562
Netherlands,6.89291E+11,7.42067E+11,6.79032E+11,7.12496E+11,7.26175E+11,6.26769E+11,6.33019E+11,6.85308E+11,7.57158E+11,7.40742E+11,7.20225E+11,8.13879E+11
New Caledonia,,,,,,,,,,,,
New Zealand,1.16166E+11,1.35003E+11,1.423E+11,1.55861E+11,1.64078E+11,1.46131E+11,1.55711E+11,1.69868E+11,1.72109E+11,1.76367E+11,1.75799E+11,2.07101E+11
Nicaragua,7729337401,8549272797,9110334739,9423835485,10404076679,11174210329,11504908947,11916954744,11286468901,11108606151,10689526410,11611573902
Niger,8196842544,9170109298,9524128672,10214881102,10864667207,9860806999,10381389644,11137135734,13042169978,12983870918,12632406101,14510811838
