Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Madagascar,21.57974052,23.37224197,19.71853828,19.75903702,23.07670021,22.81040573,24.77560616,24.17928314,21.67276382,15.88729572,17.21605492,17.64008904
Malawi,34.2412796,39.60096741,32.80570221,39.87806702,35.64556885,35.27587891,34.32816696,37.93450165,36.97562408,41.78248596,42.5414238,46.55551147
Malaysia,285.0263977,343.198761,371.7933044,382.191864,415.6535339,370.7195435,353.6402893,370.7184448,416.3200073,427.4628601,414.963501,487.0088196
Maldives,608,587,646,671,702,823,993,933,805,852,826,1039
Mali,32.20446396,32.52751923,28.26848984,30.89883041,36.67969894,29.7465477,28.3053112,29.23488998,31.96352005,32.17400742,28.85294724,40.1202507
Malta,1734,1960,1899,2121,2456,2243,2321,2552,2754,2944,3135,3642
Marshall Islands,417.3013611,424.9150696,452.0671387,485.2216797,476.7737427,571.2527466,654.5699463,646.2920532,736.7741699,782.2356567,707.4797974,766.9440918
Mauritania,43.3949852,47.4840889,49.02023697,55.34606934,59.37288666,57.40904617,48.89683914,54.19649506,55.62037659,60.7460022,63.2988472,89.28845215
Mauritius,357.0010986,385.7719116,387.2303772,440.102356,544.3952637,515.3724365,539.5122681,594.6273193,641.5615234,670.973999,569.434021,564.9007568
Mexico,539.2655029,570.7304688,587.8284302,631.213501,615.1031494,558.1651001,492.8739929,514.8897095,530.6478272,552.7042236,538.5175171,610.6453247
"Micronesia, Fed. Sts.",361.8036499,377.4903565,370.9263916,353.2251282,343.0076294,359.7853699,396.6298218,405.3110352,422.4463806,420.5794983,398.5737,393.3493042
Middle East & North Africa,331.0734006,379.0139571,399.7359172,418.3751927,439.3000853,421.9023952,465.4873519,471.8890582,495.4031301,484.2904154,489.6113579,537.0598462
Middle East & North Africa (excluding high income),218.5916336,247.7863151,256.1980977,246.2596705,246.1723762,236.724193,261.6462055,255.7200927,267.9055475,247.8152046,234.2747029,257.3886557
